GYMID,GYMNAME,OWNERID,LOCATION_ID,STATUS
1,G1,1,1,Active
2,G2,2,2,Active
3,G3,1,3,Active
4,G4,3,4,Active
5,G5,1,5,Active
6,G6,4,6,Active
7,G7,7,7,Active
8,G8,5,8,Active
9,G9,8,9,Active
10,G10,9,10,Active
11,G11,9,11,Active
12,G12,1,12,Active
13,G13,1,13,Active
14,G14,1,14,Active
15,G15,11,15,Active
16,G16,12,16,Active
17,G17,13,17,Active
18,G18,14,18,Active
19,G19,18,19,Active
20,G20,29,20,Active
21,G21,21,21,Active
22,G22,22,22,Active
23,G23,26,23,Active
24,G24,24,24,Active
25,G25,25,25,Active
26,G26,2,26,Active
27,G27,2,27,Active
28,G28,2,28,Active
29,G29,29,29,Active
30,G30,3,30,Active
