LOCATION_ID,STREETNO,AREACODE,CITY
1,123 Main St,111,New York
2,124 Main St,112,Los Angeles
3,125 Main St,113,Chicago
4,126 Main St,114,Houston
5,127 Main St,115,Phoenix
6,128 Main St,116,Philadelphia
7,129 Main St,117,San Antonio
8,130 Main St,118,San Diego
9,131 Main St,119,Dallas
10,132 Main St,120,San Jose
11,133 Main St,121,Austin
12,134 Main St,122,Jacksonville
13,135 Main St,123,Fort Worth
14,136 Main St,124,Columbus
15,137 Main St,125,Charlotte
16,138 Main St,126,San Francisco
17,139 Main St,127,Indianapolis
18,140 Main St,128,Seattle
19,141 Main St,129,Denver
20,142 Main St,130,Washington
21,143 Main St,131,Boston
22,144 Main St,132,El Paso
23,145 Main St,133,Nashville
24,146 Main St,134,Detroit
25,147 Main St,135,Oklahoma City
26,148 Main St,136,Portland
27,149 Main St,137,Las Vegas
28,150 Main St,138,Memphis
29,151 Main St,139,Louisville
30,152 Main St,140,Baltimore
